,GDP,Real GDP
1973-10-01,1476.289,5731.632
1974-01-01,1491.209,5682.353
1974-04-01,1530.056,5695.859
1974-07-01,1560.026,5642.025
1974-10-01,1599.679,5620.126
1975-01-01,1616.116,5551.713
1975-04-01,1651.853,5591.382
1975-07-01,1709.82,5687.087
1975-10-01,1761.831,5763.665
1976-01-01,1820.487,5893.276
1976-04-01,1852.332,5936.515
1976-07-01,1886.558,5969.089
1976-10-01,1934.273,6012.356
1977-04-01,2055.909,6201.659
1977-07-01,2118.473,6313.559
1979-01-01,2526.61,6746.176
1979-10-01,2723.883,6820.572
1980-01-01,2789.842,6842.024
1980-04-01,2797.352,6701.046
1980-07-01,2856.483,6693.082
1980-10-01,2985.557,6817.903
1981-01-01,3124.206,6951.495
1981-04-01,3162.532,6899.98
1981-07-01,3260.609,6982.609
1981-10-01,3280.818,6906.529
1982-01-01,3274.302,6799.233
1982-04-01,3331.972,6830.251
1982-07-01,3366.322,6804.139
1982-10-01,3402.561,6806.857
1983-04-01,3578.848,7053.5
1983-07-01,3689.179,7194.504
1984-10-01,4148.551,7754.117
1985-01-01,4230.168,7829.26
1985-04-01,4294.887,7898.194
1985-07-01,4386.773,8018.809
1985-10-01,4444.094,8078.415
1986-01-01,4507.894,8153.829
1986-04-01,4545.34,8190.552
1986-07-01,4607.669,8268.935
1986-10-01,4657.627,8313.338
1987-01-01,4722.156,8375.274
1987-04-01,4806.16,8465.63
1987-07-01,4884.555,8539.075
1987-10-01,5007.994,8685.694
1988-01-01,5073.372,8730.569
1988-04-01,5190.036,8845.28
1988-07-01,5282.835,8897.107
1990-01-01,5872.701,9364.259
1990-10-01,6004.733,9318.876
1991-01-01,6035.178,9275.276
1991-04-01,6126.862,9347.597
1991-07-01,6205.937,9394.834
1991-10-01,6264.54,9427.581
1992-01-01,6363.102,9540.444
1992-04-01,6470.763,9643.893
1992-07-01,6566.641,9739.185
1992-10-01,6680.803,9840.753
1993-01-01,6729.459,9857.185
1993-04-01,6808.939,9914.565
1993-07-01,6882.098,9961.873
1993-10-01,7013.738,10097.362
1994-04-01,7246.931,10333.495
1994-07-01,7331.075,10393.898
1996-01-01,7868.468,10824.674
1996-04-01,8032.84,11005.217
1996-07-01,8131.408,11103.935
1996-10-01,8259.771,11219.238
1997-01-01,8362.655,11291.665
1997-04-01,8518.825,11479.33
1997-07-01,8662.823,11622.911
1997-10-01,8765.907,11722.722
1998-01-01,8866.48,11839.876
1998-04-01,8969.699,11949.492
1998-07-01,9121.097,12099.191
1998-10-01,9293.991,12294.737
1999-01-01,9411.682,12410.778
1999-04-01,9526.21,12514.408
1999-07-01,9686.626,12679.977
1999-10-01,9900.169,12888.281
2001-01-01,10470.231,13219.251
2001-10-01,10660.465,13284.881
2002-01-01,10783.5,13394.91
2002-04-01,10887.46,13477.356
2002-07-01,10984.04,13531.741
2002-10-01,11061.433,13549.421
2003-01-01,11174.129,13619.434
2003-04-01,11312.766,13741.107
2003-07-01,11566.669,13970.157
2003-10-01,11772.234,14131.379
2004-01-01,11923.447,14212.34
2004-04-01,12112.815,14323.017
2004-07-01,12305.307,14457.832
2004-10-01,12527.214,14605.595
2005-04-01,12922.656,14839.707
2005-07-01,13142.642,14956.291
2007-01-01,14215.651,15478.956
2007-10-01,14715.058,15767.146
2008-01-01,14706.538,15702.906
2008-04-01,14865.701,15792.773
2008-07-01,14898.999,15709.562
2008-10-01,14608.208,15366.607
2009-01-01,14430.901,15187.475
2009-04-01,14381.236,15161.772
2009-07-01,14448.882,15216.647
2009-10-01,14651.248,15379.155
2010-01-01,14764.611,15456.059
2010-04-01,14980.193,15605.628
2010-07-01,15141.605,15726.282
2010-10-01,15309.471,15807.995
2011-04-01,15557.535,15876.839
2011-07-01,15647.681,15870.684
2012-10-01,16420.386,16300.035
2013-01-01,16629.05,16441.485
2013-04-01,16699.551,16464.402
2013-07-01,16911.068,16594.743
2013-10-01,17133.114,16712.76
2014-01-01,17144.281,16654.247
2014-04-01,17462.703,16868.109
2014-07-01,17743.227,17064.616
2014-10-01,17852.54,17141.235
2015-01-01,17991.348,17280.647
2015-04-01,18193.707,17380.875
2015-07-01,18306.96,17437.08
2015-10-01,18332.079,17462.579
2016-01-01,18425.306,17565.465
2016-04-01,18611.617,17618.581
2016-07-01,18775.459,17724.489
2018-01-01,20155.486,18437.127
2018-10-01,20819.269,18733.741
2019-01-01,21013.085,18835.411
2019-04-01,21272.448,18962.175
2019-07-01,21531.839,19130.932
2019-10-01,21706.532,19215.691
2020-01-01,21538.032,18989.877
2020-04-01,19636.731,17378.712
2020-07-01,21362.428,18743.72
2020-10-01,21704.706,18924.262
2021-01-01,22313.85,19216.224
2021-04-01,23046.934,19544.248
2021-07-01,23550.42,19672.594
2021-10-01,24349.121,20006.181
2022-04-01,25248.476,19895.271
2022-07-01,25723.941,20054.663
