,CPI,PPI
2009-12-01,217.347,100.3
2010-01-01,217.488,101.2
2010-02-01,217.281,101.0
2010-03-01,217.353,101.1
2010-04-01,217.403,101.4
2010-06-01,217.199,101.4
2010-07-01,217.605,101.6
2010-09-01,218.275,102.1
2010-10-01,219.035,102.5
2010-11-01,219.59,102.8
2010-12-01,220.472,103.1
2011-02-01,221.898,104.3
2011-03-01,223.046,105.0
2011-04-01,224.093,105.5
2011-06-01,224.806,105.9
2011-07-01,225.395,106.1
2011-08-01,226.106,106.3
2011-09-01,226.597,106.7
2011-11-01,227.169,106.6
2011-12-01,227.223,106.5
2012-02-01,228.329,107.2
2012-03-01,228.807,107.4
2012-05-01,228.713,107.6
2012-06-01,228.524,107.3
2012-08-01,229.918,107.5
2012-10-01,231.638,108.3
2012-11-01,231.249,108.4
2013-01-01,231.679,108.7
2013-02-01,232.937,108.9
2013-03-01,232.282,108.9
2013-04-01,231.797,108.7
2013-05-01,231.893,108.6
2013-07-01,232.9,109.2
2013-08-01,233.456,109.3
2013-10-01,233.669,109.5
2013-11-01,234.1,109.7
2014-01-01,235.288,110.1
2014-04-01,236.468,110.8
2014-05-01,236.918,111.0
2014-07-01,237.498,111.3
2014-08-01,237.46,111.3
2014-09-01,237.477,111.1
2014-10-01,237.43,111.3
2014-12-01,236.252,110.8
2015-01-01,234.747,110.1
2015-04-01,236.222,109.6
2015-05-01,237.001,110.0
2015-06-01,237.657,110.3
2015-07-01,238.034,110.5
2015-09-01,237.498,109.9
2015-10-01,237.733,109.6
2015-12-01,237.761,109.6
2016-01-01,237.652,110.0
2016-02-01,237.336,109.7
2016-03-01,238.08,109.7
2016-04-01,238.992,109.9
2016-06-01,240.222,110.6
2016-07-01,240.101,110.5
2016-08-01,240.545,110.3
2016-09-01,241.176,110.6
2016-11-01,242.026,111.1
2016-12-01,242.637,111.4
2017-02-01,244.006,111.9
2017-03-01,243.892,112.1
2017-05-01,244.004,112.5
2017-06-01,244.163,112.6
2017-08-01,245.183,113.1
2017-09-01,246.435,113.5
2017-11-01,247.284,114.3
2017-12-01,247.805,114.4
2018-01-01,248.859,114.8
2018-02-01,249.529,115.1
2018-03-01,249.577,115.3
2018-05-01,250.792,115.9
2018-06-01,251.018,116.3
2018-08-01,251.663,116.5
2018-10-01,252.772,117.5
2018-11-01,252.594,117.4
2019-01-01,252.718,117.0
2019-02-01,253.322,117.2
2019-03-01,254.202,117.6
2019-04-01,255.211,118.2
2019-05-01,255.29,118.3
2019-07-01,255.685,118.4
2019-08-01,256.059,118.6
2019-10-01,257.244,118.7
2019-11-01,257.803,118.6
2020-01-01,259.037,119.3
2020-04-01,256.092,116.6
2020-05-01,255.868,117.2
2020-06-01,256.986,117.5
2020-07-01,258.278,118.2
2020-09-01,260.029,118.7
2020-10-01,260.286,119.4
2020-12-01,262.035,120.0
2021-01-01,262.65,121.3
2021-02-01,263.638,122.0
2021-03-01,264.914,122.8
2021-04-01,266.67,124.1
2021-06-01,270.559,126.2
2021-07-01,271.764,127.453
2021-09-01,274.028,129.21
2021-10-01,276.522,130.027
2021-11-01,278.711,131.452
2021-12-01,280.887,132.244
2022-02-01,284.61,134.883
2022-03-01,287.472,137.035
2022-04-01,288.611,137.853
2022-06-01,294.728,140.156
2022-07-01,294.628,139.761
2022-08-01,295.32,139.789
2022-09-01,296.539,140.191
2022-11-01,298.598,141.175
2022-12-01,298.99,140.963
2023-02-01,301.648,141.568
2023-03-01,301.808,140.865
