,3m5y,3m10y,2y10y,2y20y,5y10y,10y30y,10yTrea30yFRM
1981-09-04,-0.46999999999999886,-1.1300000000000008,-1.3800000000000008,-1.6500000000000004,-0.6600000000000019,-0.6699999999999999,2.2799999999999994
1981-09-11,0.05000000000000071,-0.7099999999999991,-1.4199999999999982,-1.6099999999999994,-0.7599999999999998,-0.5600000000000005,3.169999999999998
1981-09-18,0.4800000000000004,-0.16000000000000014,-1.1099999999999994,-1.4499999999999993,-0.6400000000000006,-0.6899999999999995,3.3599999999999994
1981-09-25,1.1099999999999994,0.6600000000000001,-0.8500000000000014,-1.0000000000000018,-0.4499999999999993,-0.5999999999999996,2.6799999999999997
1981-10-02,0.4299999999999997,0.009999999999999787,-0.9299999999999997,-1.0600000000000005,-0.41999999999999993,-0.6099999999999994,2.870000000000001
1981-10-09,1.0699999999999985,0.7699999999999996,-0.46999999999999886,-0.47999999999999865,-0.29999999999999893,-0.47000000000000064,3.8999999999999986
1981-10-16,1.0199999999999996,0.7599999999999998,-0.5200000000000014,-0.4800000000000004,-0.2599999999999998,-0.3899999999999988,3.5900000000000016
1981-10-21,1.3800000000000008,1.17,-0.21000000000000085,-0.23000000000000043,-0.21000000000000085,-0.40000000000000036,3.0500000000000007
1981-10-30,1.4499999999999993,1.3000000000000007,0.040000000000000924,0.16000000000000014,-0.14999999999999858,-0.27000000000000135,3.8100000000000005
1981-11-06,1.8599999999999994,1.7299999999999986,0.08000000000000007,0.3200000000000003,-0.13000000000000078,-0.08999999999999986,4.4300000000000015
1981-11-13,1.9900000000000002,1.8599999999999994,0.34999999999999964,0.6199999999999992,-0.13000000000000078,0.08000000000000007,4.84
1981-11-20,2.5,2.630000000000001,0.9299999999999997,1.0199999999999996,0.13000000000000078,-0.0600000000000005,4.559999999999999
1981-11-27,2.0,2.34,0.8100000000000005,0.8100000000000005,0.33999999999999986,-0.16000000000000014,4.290000000000001
1981-12-04,2.5100000000000016,2.860000000000001,0.9199999999999999,0.9199999999999999,0.34999999999999964,-0.2599999999999998,3.7499999999999982
1981-12-11,2.4000000000000004,2.51,0.4900000000000002,0.4900000000000002,0.10999999999999943,-0.28999999999999915,3.1000000000000014
1981-12-18,2.0700000000000003,2.1799999999999997,0.3200000000000003,0.3200000000000003,0.10999999999999943,-0.20999999999999908,3.389999999999999
1981-12-31,2.4300000000000015,2.4400000000000013,0.34999999999999964,0.40999999999999837,0.009999999999999787,-0.33000000000000007,3.0599999999999987
1982-01-08,2.49,2.5,0.370000000000001,0.41000000000000014,0.009999999999999787,-0.34999999999999964,2.8200000000000003
1982-01-15,2.119999999999999,2.08,0.009999999999999787,-0.05000000000000071,-0.03999999999999915,-0.41000000000000014,2.620000000000001
1982-01-22,1.2199999999999989,1.0599999999999987,-0.370000000000001,-0.5099999999999998,-0.16000000000000014,-0.4499999999999993,2.92
1982-01-29,1.1600000000000001,1.0600000000000005,-0.09999999999999964,-0.02999999999999936,-0.09999999999999964,-0.23000000000000043,3.4499999999999993
1982-02-05,0.08999999999999986,0.019999999999999574,-0.2400000000000002,-0.17999999999999972,-0.07000000000000028,-0.22000000000000064,2.9099999999999984
1982-02-19,0.2699999999999996,0.07000000000000028,-0.6999999999999993,-0.6500000000000004,-0.1999999999999993,-0.22000000000000064,3.42
1982-02-26,1.1199999999999992,1.0299999999999994,-0.41000000000000014,-0.34999999999999964,-0.08999999999999986,-0.1999999999999993,3.49
1982-03-05,0.7100000000000009,0.7300000000000004,-0.1999999999999993,-0.22999999999999865,0.019999999999999574,-0.2400000000000002,3.6999999999999993
1982-03-12,0.6399999999999988,0.5700000000000003,-0.379999999999999,-0.46999999999999886,-0.06999999999999851,-0.3200000000000003,3.2200000000000006
1982-03-19,0.370000000000001,0.20000000000000107,-0.4599999999999991,-0.5600000000000005,-0.16999999999999993,-0.33000000000000007,3.2300000000000004
1982-03-26,0.4900000000000002,0.3200000000000003,-0.33999999999999986,-0.46999999999999886,-0.16999999999999993,-0.35999999999999943,3.0299999999999994
1982-04-02,0.3100000000000005,0.15000000000000036,-0.33999999999999986,-0.5999999999999996,-0.16000000000000014,-0.4900000000000002,2.8499999999999996
1982-04-16,0.6199999999999992,0.5,-0.5299999999999994,-0.8800000000000008,-0.11999999999999922,-0.5300000000000011,3.219999999999999
1982-04-23,0.8499999999999996,0.6999999999999993,-0.33000000000000007,-0.6500000000000004,-0.15000000000000036,-0.5099999999999998,3.17
1982-04-30,0.75,0.7199999999999989,-0.120000000000001,-0.41999999999999993,-0.030000000000001137,-0.47999999999999865,2.9399999999999995
1982-05-07,0.620000000000001,0.46000000000000085,-0.1899999999999995,-0.41000000000000014,-0.16000000000000014,-0.40000000000000036,3.3000000000000007
1982-05-14,0.7200000000000006,0.5600000000000005,-0.379999999999999,-0.5199999999999996,-0.16000000000000014,-0.3100000000000005,3.1499999999999986
1982-05-21,1.67,1.5299999999999994,-0.05000000000000071,-0.16000000000000014,-0.14000000000000057,-0.34999999999999964,3.150000000000002
1982-05-28,1.7899999999999991,1.7400000000000002,0.09000000000000163,0.010000000000001563,-0.049999999999998934,-0.3200000000000003,2.919999999999998
1982-06-04,1.25,1.200000000000001,-0.049999999999998934,-0.019999999999999574,-0.049999999999998934,-0.22000000000000064,2.669999999999998
1982-06-11,1.4499999999999993,1.379999999999999,-0.15000000000000036,-0.22000000000000064,-0.07000000000000028,-0.3200000000000003,2.7699999999999996
1982-06-18,1.4900000000000002,1.3099999999999987,-0.34000000000000163,-0.5,-0.1800000000000015,-0.4299999999999997,2.0900000000000016
1982-06-25,1.0600000000000005,0.8900000000000006,-0.22000000000000064,-0.4900000000000002,-0.16999999999999993,-0.5199999999999996,1.9700000000000006
1982-07-02,1.33,1.1400000000000006,-0.21000000000000085,-0.45000000000000107,-0.1899999999999995,-0.47000000000000064,2.370000000000001
1982-07-09,1.9000000000000004,1.7400000000000002,-0.02000000000000135,-0.27000000000000135,-0.16000000000000014,-0.4599999999999991,2.9000000000000004
1982-07-16,2.1799999999999997,2.0199999999999996,-0.010000000000001563,-0.1700000000000017,-0.16000000000000014,-0.34999999999999964,3.1799999999999997
1982-07-23,2.8499999999999996,2.83,0.5200000000000014,0.370000000000001,-0.019999999999999574,-0.3100000000000005,3.1899999999999995
1982-07-30,3.16,3.1099999999999994,0.5099999999999998,0.46000000000000085,-0.05000000000000071,-0.2599999999999998,2.969999999999999
1982-08-06,3.1499999999999986,3.139999999999999,0.6099999999999994,0.379999999999999,-0.009999999999999787,-0.4399999999999995,2.700000000000001
1982-08-13,3.6400000000000006,3.5999999999999996,0.4499999999999993,0.3699999999999992,-0.040000000000000924,-0.21999999999999886,3.240000000000002
1982-08-20,4.840000000000001,4.930000000000001,1.040000000000001,1.0100000000000016,0.08999999999999986,-0.09999999999999964,3.9700000000000006
1982-08-27,4.550000000000001,4.67,0.8399999999999999,0.7200000000000006,0.11999999999999922,-0.23000000000000043,3.110000000000001
1982-09-03,3.799999999999999,4.01,0.7800000000000011,0.5400000000000009,0.21000000000000085,-0.3100000000000005,3.119999999999999
1982-09-10,3.9000000000000004,4.07,0.6699999999999999,0.5399999999999991,0.16999999999999993,-0.3200000000000003,2.83
1982-09-17,4.16,4.279999999999999,0.5499999999999989,0.40999999999999837,0.11999999999999922,-0.39000000000000057,2.870000000000001
1982-09-24,4.200000000000001,4.24,0.4399999999999995,0.16999999999999993,0.03999999999999915,-0.20999999999999908,3.0999999999999996
