,1-Month Treasury Yield,3-Month Treasury Yield,2-Year Treasury Yield,5-Year Treasury Yield,10-Year Treasury Yield,20-Year Treasury Yield,30-Year Treasury Yield,15-Year Mortgage Rate,30-Year Mortgage Rate
2001-08-03,3.63,3.52,3.91,4.72,5.2,5.7,5.59,6.54,7.0
2001-08-10,3.58,3.43,3.73,4.61,4.99,5.61,5.52,6.54,7.0
2001-08-17,3.46,3.36,3.67,4.49,4.84,5.51,5.43,6.48,6.92
2001-08-24,3.49,3.42,3.76,4.55,4.93,5.54,5.45,6.47,6.91
2001-08-31,3.4,3.37,3.64,4.46,4.85,5.47,5.39,6.47,6.92
2001-09-07,3.4,3.27,3.53,4.39,4.8,5.45,5.39,6.44,6.89
2001-09-14,2.54,2.64,2.87,3.92,4.57,5.38,5.35,6.39,6.86
2001-09-21,2.12,2.25,2.91,3.94,4.7,5.62,5.59,6.3,6.8
2001-09-28,2.28,2.4,2.86,3.93,4.6,5.45,5.42,6.23,6.72
2001-10-05,2.21,2.19,2.71,3.87,4.52,5.34,5.31,6.11,6.64
2001-10-12,2.31,2.25,2.81,4.01,4.68,5.45,5.42,6.06,6.58
2001-10-19,2.29,2.19,2.77,3.96,4.63,5.39,5.36,6.09,6.61
2001-10-26,2.26,2.14,2.63,3.88,4.53,5.27,5.27,6.13,6.64
2001-11-02,2.09,2.01,2.48,3.77,4.37,5.14,4.96,6.04,6.56
2001-11-09,1.92,1.83,2.45,3.62,4.34,5.05,4.88,5.94,6.45
2001-11-16,2.02,1.95,3.09,4.24,4.91,5.52,5.3,5.98,6.51
2001-11-23,2.0,1.95,3.2,4.4,5.04,5.65,5.39,6.24,6.75
2001-11-30,1.87,1.78,2.84,4.08,4.78,5.54,5.27,6.53,7.02
2001-12-07,1.69,1.69,3.19,4.5,5.2,5.9,5.6,6.3,6.84
2001-12-14,1.7,1.73,3.2,4.52,5.24,5.89,5.59,6.57,7.09
2001-12-21,1.67,1.71,3.17,4.45,5.12,5.76,5.45,6.65,7.17
2001-12-28,1.73,1.72,3.16,4.46,5.15,5.82,5.54,6.65,7.16
2002-01-04,1.72,1.72,3.19,4.5,5.18,5.87,5.57,6.62,7.14
2002-01-11,1.62,1.58,2.76,4.14,4.92,5.6,5.37,6.55,7.06
2002-01-18,1.59,1.62,2.91,4.23,4.94,5.59,5.36,6.31,6.83
2002-01-25,1.69,1.72,3.17,4.46,5.1,5.72,5.47,6.44,6.96
2002-02-01,1.69,1.76,3.08,4.37,5.02,5.63,5.4,6.51,7.02
2002-02-08,1.69,1.73,2.95,4.28,4.9,5.6,5.39,6.36,6.88
2002-02-15,1.72,1.74,2.97,4.27,4.86,5.58,5.37,6.35,6.86
2002-02-22,1.75,1.76,2.97,4.23,4.84,5.55,5.48,6.28,6.81
2002-03-01,1.78,1.77,3.18,4.43,4.98,5.7,5.6,6.28,6.8
2002-03-08,1.77,1.81,3.6,4.77,5.33,5.95,5.83,6.37,6.87
2002-03-15,1.79,1.86,3.63,4.8,5.35,5.98,5.86,6.59,7.08
2002-03-22,1.78,1.84,3.77,4.9,5.4,6.04,5.89,6.65,7.14
2002-04-05,1.76,1.76,3.49,4.68,5.22,5.84,5.79,6.64,7.13
2002-04-12,1.71,1.71,3.41,4.6,5.18,5.81,5.79,6.49,6.99
2002-04-19,1.69,1.73,3.36,4.62,5.21,5.85,5.8,6.42,6.94
2002-04-26,1.68,1.75,3.22,4.49,5.08,5.73,5.73,6.35,6.88
2002-05-03,1.73,1.76,3.17,4.48,5.08,5.7,5.65,6.26,6.78
2002-05-10,1.73,1.77,3.19,4.46,5.15,5.77,5.72,6.27,6.79
2002-05-17,1.73,1.76,3.41,4.6,5.27,5.94,5.84,6.37,6.89
2002-05-24,1.71,1.74,3.28,4.47,5.16,5.83,5.78,6.28,6.81
2002-05-31,1.72,1.74,3.22,4.37,5.08,5.77,5.75,6.22,6.76
2002-06-07,1.74,1.74,3.16,4.36,5.1,5.81,5.81,6.18,6.71
2002-06-14,1.71,1.71,2.92,4.1,4.83,5.54,5.59,6.17,6.71
