Date,Dow_Jones,Gold,Real_Estate,SP500,Materials,Energy,Financials,Industrials,Technology,Staples,Utilities,Healthcare,Discretionary,NASDAQ
1998-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998-04-28,-0.0029765179233236516,0.0,0.0,-0.001437102012184277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006295609302051197
1998-04-29,0.0019400233165125513,0.0,0.0,0.005471684487596495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01714303823981278
1998-04-30,0.01818968963675749,0.0,0.0,0.024053290659970306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026199884818295383
1998-05-01,0.026787017981673378,0.0,0.0,0.035279919441622565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02889196371668934
1998-05-04,0.028491414248434488,0.0,0.0,0.03278184433914677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03178506096817846
1998-05-05,0.024917270798644586,0.0,0.0,0.025825829376474818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0243603719117107
1998-05-06,0.011766353189337941,0.0,0.0,0.014057515226416406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019947300869187057
1998-05-07,0.005709134974205998,0.0,0.0,0.006118832822966658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008345927213317839
1998-05-08,0.01911724197864273,0.0,0.0,0.022409574817947586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024273856545919625
1998-05-11,0.01894523302012363,0.0,0.0,0.019034892291600825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015530930586579395
1998-05-12,0.029943652545918242,0.0,0.0,0.02975708780837505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022072938325464975
1998-05-13,0.03351347069706789,0.0,0.0,0.03226970230991166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02530922951581105
1998-05-14,0.028770267229556334,0.0,0.0,0.027257493410247968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02486979262560096
1998-05-15,0.018679391038885385,0.0,0.0,0.021659783913685948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014903906165991465
1998-05-18,0.015753796064480796,0.0,0.0,0.017719705853589285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006700380955035334
1998-05-19,0.01609916291422786,0.0,0.0,0.024500951480928124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014480379010302413
